Airline Code,Airline Name,Leg Duration (minutes),Flight Number,Departure Time,Departure Airport Code,Arrival Airport Code,Equipment Type,Aeoroport de Depart,Aeoroport d'Arrivee,Repas,Seat,Avion Name
TU,Tunisair,145,724,2024-07-24T17:50:00,TUN,ORY,Airbus A320 (sharklets),Aéroport Intl de Tunis-Carthage,Aéroport de Paris-Orly,Repas fourni,81 cm d’espacement des sièges,Airbus A320 (sharklets) (Avion monocouloir)
TU,Tunisair,145,719,2024-07-31T14:30:00,ORY,TUN,Airbus A320-100/200,Aéroport de Paris-Orly,Aéroport Intl de Tunis-Carthage,Repas fourni,81 cm d’espacement des sièges,Airbus A320-100/200 (Avion monocouloir)
TU,Tunisair,145,716,2024-07-24T06:20:00,TUN,ORY,Airbus A320-100/200,Aéroport Intl de Tunis-Carthage,Aéroport de Paris-Orly,Repas fourni,,Airbus A320-100/200 (Avion monocouloir)
TU,Tunisair,145,717,2024-07-31T10:45:00,ORY,TUN,Airbus A320-100/200,Aéroport de Paris-Orly,Aéroport Intl de Tunis-Carthage,Repas fourni,,Airbus A320-100/200 (Avion monocouloir)
TU,Tunisair,145,724,2024-07-24T17:50:00,TUN,ORY,Airbus A320 (sharklets),Aéroport Intl de Tunis-Carthage,Aéroport de Paris-Orly,Repas fourni,81 cm d’espacement des sièges,Airbus A320 (sharklets) (Avion monocouloir)
TU,Tunisair,145,717,2024-07-31T10:45:00,ORY,TUN,Airbus A320-100/200,Aéroport de Paris-Orly,Aéroport Intl de Tunis-Carthage,Repas fourni,,Airbus A320-100/200 (Avion monocouloir)
TU,Tunisair,145,722,2024-07-24T15:35:00,TUN,ORY,Airbus A330-200,Aéroport Intl de Tunis-Carthage,Aéroport de Paris-Orly,Repas fourni,79 cm d’espacement des sièges,Airbus A330-200 (Gros-porteur)
TU,Tunisair,145,717,2024-07-31T10:45:00,ORY,TUN,Airbus A320-100/200,Aéroport de Paris-Orly,Aéroport Intl de Tunis-Carthage,Repas fourni,,Airbus A320-100/200 (Avion monocouloir)
TU,Tunisair,145,716,2024-07-24T06:20:00,TUN,ORY,Airbus A320-100/200,Aéroport Intl de Tunis-Carthage,Aéroport de Paris-Orly,Repas fourni,,Airbus A320-100/200 (Avion monocouloir)
TU,Tunisair,145,719,2024-07-31T14:30:00,ORY,TUN,Airbus A320-100/200,Aéroport de Paris-Orly,Aéroport Intl de Tunis-Carthage,Repas fourni,81 cm d’espacement des sièges,Airbus A320-100/200 (Avion monocouloir)
TU,Tunisair,145,716,2024-07-24T06:20:00,TUN,ORY,Airbus A320-100/200,Aéroport Intl de Tunis-Carthage,Aéroport de Paris-Orly,Repas fourni,,Airbus A320-100/200 (Avion monocouloir)
TU,Tunisair,145,723,2024-07-31T20:30:00,ORY,TUN,Airbus A330-200,Aéroport de Paris-Orly,Aéroport Intl de Tunis-Carthage,Repas fourni,79 cm d’espacement des sièges,Airbus A330-200 (Gros-porteur)
TU,Tunisair,145,724,2024-07-24T17:50:00,TUN,ORY,Airbus A320 (sharklets),Aéroport Intl de Tunis-Carthage,Aéroport de Paris-Orly,Repas fourni,81 cm d’espacement des sièges,Airbus A320 (sharklets) (Avion monocouloir)
