Airline Code,Airline Name,Leg Duration (minutes),Flight Number,Departure Time,Departure Airport Code,Arrival Airport Code,Equipment Type,Aeoroport de Depart,Aeoroport d'Arrivee,Repas,Seat,Avion Name
MULT,Multiple airlines,760,863,2024-08-17T10:25:00,TUN,FCO,Airbus A320neo,Carthage,Fiumicino,Snacks provided,,Airbus A320neo (Narrow-body jet)
MULT,Multiple airlines,760,6602,2024-08-17T14:30:00,FCO,YYZ,Boeing 777-300ER,Fiumicino,Pearson Intl,Meal provided,Cradle recliner (97 cm),Boeing 777-300ER (Wide-body jet)
LH,Lufthansa,690,471,2024-08-31T18:20:00,YYZ,FRA,Boeing 747-400,Pearson Intl,Frankfurt,Meal provided,"31"" seat pitch",Boeing 747-400 (Wide-body jet)
LH,Lufthansa,690,1322,2024-09-01T09:30:00,FRA,TUN,Airbus A320 (sharklets),Frankfurt,Carthage,Light meal (fee),"30"" seat pitch",Airbus A320 (sharklets) (Narrow-body jet)
MULT,Multiple airlines,760,863,2024-08-17T10:25:00,TUN,FCO,Airbus A320neo,Carthage,Fiumicino,Lunch provided,,Airbus A320neo (Narrow-body jet)
MULT,Multiple airlines,760,891,2024-08-17T14:30:00,FCO,YYZ,Boeing 777-300ER,Fiumicino,Pearson Intl,Meal provided,Full flat all aisle access,Boeing 777-300ER (Wide-body jet)
MULT,Multiple airlines,690,9104,2024-08-31T18:20:00,YYZ,FRA,Boeing 747-400,Pearson Intl,Frankfurt,Meal provided,"31"" seat pitch",Boeing 747-400 (Wide-body jet)
MULT,Multiple airlines,690,1322,2024-09-01T09:30:00,FRA,TUN,Airbus A320 (sharklets),Frankfurt,Carthage,Light meal (fee),"30"" seat pitch",Airbus A320 (sharklets) (Narrow-body jet)
MULT,Multiple airlines,760,863,2024-08-17T10:25:00,TUN,FCO,Airbus A320neo,Carthage,Fiumicino,Lunch provided,,Airbus A320neo (Narrow-body jet)
MULT,Multiple airlines,760,891,2024-08-17T14:30:00,FCO,YYZ,Boeing 777-300ER,Fiumicino,Pearson Intl,Meal provided,Full flat all aisle access,Boeing 777-300ER (Wide-body jet)
AC,Air Canada,690,9104,2024-08-31T18:20:00,YYZ,FRA,Boeing 747-400,Pearson Intl,Frankfurt,Meal provided,"31"" seat pitch",Boeing 747-400 (Wide-body jet)
AC,Air Canada,690,9128,2024-09-01T09:30:00,FRA,TUN,Airbus A320 (sharklets),Frankfurt,Carthage,Light meal (fee),"30"" seat pitch",Airbus A320 (sharklets) (Narrow-body jet)
AC,Air Canada,760,9534,2024-08-17T11:55:00,TUN,FRA,Airbus A321-100/200,Carthage,Frankfurt,Meal provided,Adjacent seat unoccupied (76 cm),Airbus A321-100/200 (Narrow-body jet)
AC,Air Canada,760,843,2024-08-17T17:05:00,FRA,YYZ,Boeing 787-9 Dreamliner,Frankfurt,Pearson Intl,Meal provided,Full flat all aisle access,Boeing 787-9 Dreamliner (Wide-body jet)
MULT,Multiple airlines,690,9104,2024-08-31T18:20:00,YYZ,FRA,Boeing 747-400,Pearson Intl,Frankfurt,Meal provided,"31"" seat pitch",Boeing 747-400 (Wide-body jet)
MULT,Multiple airlines,690,1322,2024-09-01T09:30:00,FRA,TUN,Airbus A320 (sharklets),Frankfurt,Carthage,Light meal (fee),"30"" seat pitch",Airbus A320 (sharklets) (Narrow-body jet)
AC,Air Canada,760,9534,2024-08-17T11:55:00,TUN,FRA,Airbus A321-100/200,Carthage,Frankfurt,Meal provided,Adjacent seat unoccupied (76 cm),Airbus A321-100/200 (Narrow-body jet)
AC,Air Canada,760,843,2024-08-17T17:05:00,FRA,YYZ,Boeing 787-9 Dreamliner,Frankfurt,Pearson Intl,Meal provided,Full flat all aisle access,Boeing 787-9 Dreamliner (Wide-body jet)
AC,Air Canada,690,9104,2024-08-31T18:20:00,YYZ,FRA,Boeing 747-400,Pearson Intl,Frankfurt,Meal provided,"31"" seat pitch",Boeing 747-400 (Wide-body jet)
AC,Air Canada,690,9128,2024-09-01T09:30:00,FRA,TUN,Airbus A320 (sharklets),Frankfurt,Carthage,Light meal (fee),"30"" seat pitch",Airbus A320 (sharklets) (Narrow-body jet)
MULT,Multiple airlines,760,1323,2024-08-17T11:55:00,TUN,FRA,Airbus A321-100/200,Carthage,Frankfurt,Meal provided,Adjacent seat unoccupied (76 cm),Airbus A321-100/200 (Narrow-body jet)
MULT,Multiple airlines,760,843,2024-08-17T17:05:00,FRA,YYZ,Boeing 787-9 Dreamliner,Frankfurt,Pearson Intl,Meal provided,Full flat all aisle access,Boeing 787-9 Dreamliner (Wide-body jet)
AC,Air Canada,690,9104,2024-08-31T18:20:00,YYZ,FRA,Boeing 747-400,Pearson Intl,Frankfurt,Meal provided,"31"" seat pitch",Boeing 747-400 (Wide-body jet)
AC,Air Canada,690,9128,2024-09-01T09:30:00,FRA,TUN,Airbus A320 (sharklets),Frankfurt,Carthage,Light meal (fee),"30"" seat pitch",Airbus A320 (sharklets) (Narrow-body jet)
MULT,Multiple airlines,760,1323,2024-08-17T11:55:00,TUN,FRA,Airbus A321-100/200,Carthage,Frankfurt,Meal provided,Adjacent seat unoccupied (76 cm),Airbus A321-100/200 (Narrow-body jet)
MULT,Multiple airlines,760,843,2024-08-17T17:05:00,FRA,YYZ,Boeing 787-9 Dreamliner,Frankfurt,Pearson Intl,Meal provided,Full flat all aisle access,Boeing 787-9 Dreamliner (Wide-body jet)
