Resident place,Number of stars,Review score,Experience rating,Experience vécue,Place near the hotel,Chambre,Déjeuner,Annulation,Extension,Caractéristique,Durée de séjour et personne,Prix
Rooms Inn Taxim,Non disponible,"Avec une note de 8,18,1",Très bien,295 expériences vécues,"Beyoğlu, Istanbul",Chambre Double ou Lits Jumeaux Standard avec Balcon,Non disponible,Non disponible,Offre à Durée Limitée,"Beyoğlu, IstanbulIndiquer sur la carte3,5 km du centreProche du métro","1 semaine, 1 adulte",US$388
Louis Appartements Galata,4 étoile(s),"Avec une note de 9,59,5",Exceptionnel,317 expériences vécues,"Beyoğlu, Istanbul",Suite Junior,Non disponible,Non disponible,Non disponible,"Beyoğlu, IstanbulIndiquer sur la carte2,1 km du centreProche du métro","1 semaine, 1 adulte",US$1 630
Garlon Residence,Non disponible,"Avec une note de 9,39,3",Fabuleux,1 701 expériences vécues,"Beyoğlu, Istanbul",Appartement 1 Chambre - Pâté de maisons GR1,Non disponible,Non disponible,Non disponible,"Beyoğlu, IstanbulIndiquer sur la carte3,2 km du centreProche du métro","1 semaine, 1 adulte",US$614
Sultan Hamit Hotel,3 étoile(s),"Avec une note de 9,39,3",Fabuleux,2 028 expériences vécues,"Fatih, Istanbul",Chambre Double ou Lits Jumeaux Standard,Non disponible,Non disponible,Non disponible,"Fatih, IstanbulIndiquer sur la carte0,7 km du centre","1 semaine, 1 adulte",US$668
Arena Hotel - Special Class,Non disponible,"Avec une note de 8,68,6",Superbe,2 060 expériences vécues,"Fatih, Istanbul",Chambre Double ou Lits Jumeaux Économique - Sous-Sol,Petit-déjeuner compris,Non disponible,Offre Saisonnière,"Fatih, IstanbulIndiquer sur la carte450 m du centre","1 semaine, 1 adulte",US$560
Taksim Terrapia Hotel,Non disponible,"Avec une note de 9,49,4",Fabuleux,16 expériences vécues,"Beyoğlu, Istanbul",Chambre Double Standard,Petit-déjeuner compris,Non disponible,Non disponible,"Beyoğlu, IstanbulIndiquer sur la carte2,3 km du centreProche du métro","1 semaine, 1 adulte",US$2 291
Enderun Hotel Istanbul,Non disponible,"Avec une note de 9,09,0",Fabuleux,1 724 expériences vécues,"Fatih, Istanbul",Chambre Simple,Petit-déjeuner compris,Non disponible,Offre à Durée Limitée,"Fatih, IstanbulIndiquer sur la carte0,7 km du centre","1 semaine, 1 adulte",US$494
White Palace Hotel,3 étoile(s),"Avec une note de 9,29,2",Fabuleux,382 expériences vécues,"Fatih, Istanbul",Chambre Simple avec Salle de Bains Privative,Petit-déjeuner compris,Non disponible,Non disponible,"Fatih, IstanbulIndiquer sur la carte1,5 km du centreProche du métro","1 semaine, 1 adulte",US$414
Galapera Hotel,Non disponible,"Avec une note de 8,18,1",Très bien,611 expériences vécues,"Beyoğlu, Istanbul",Chambre Simple Économique,Non disponible,Non disponible,Offre Saisonnière,"Beyoğlu, IstanbulIndiquer sur la carte2,1 km du centreProche du métro","1 semaine, 1 adulte",US$249
Great Fortune Design Hotel & Spa,4 étoile(s),"Avec une note de 8,88,8",Superbe,3 113 expériences vécues,"Fatih, Istanbul",Chambre Double ou Lits Jumeaux Standard,Petit-déjeuner compris,Non disponible,Offre Saisonnière,"Fatih, IstanbulIndiquer sur la carte350 m du centre","1 semaine, 1 adulte",US$640
